close,date,high,low,open,volume
505.87,2025-07-23T00:00:00.000Z,506.79,500.7,506.75,16396585
505.27,2025-07-22T00:00:00.000Z,511.2,505.27,510.97,13868644
510.06,2025-07-21T00:00:00.000Z,512.09,505.55,506.705,14066805
510.05,2025-07-18T00:00:00.000Z,514.64,507.43,514.48,21209666
511.7,2025-07-17T00:00:00.000Z,513.37,505.62,505.68,17503129
505.62,2025-07-16T00:00:00.000Z,506.72,501.89,505.18,15154374
505.82,2025-07-15T00:00:00.000Z,508.3,502.79,503.02,14927202
503.02,2025-07-14T00:00:00.000Z,503.97,501.03,501.515,12058848
503.32,2025-07-11T00:00:00.000Z,505.03,497.795,498.47,16459512
501.48,2025-07-10T00:00:00.000Z,504.44,497.75,503.05,16498740
503.51,2025-07-09T00:00:00.000Z,506.78,499.74,500.3,18659538
496.62,2025-07-08T00:00:00.000Z,498.2,494.11,497.24,11846586
497.72,2025-07-07T00:00:00.000Z,498.75,495.225,497.38,13981605
498.84,2025-07-03T00:00:00.000Z,500.13,493.44,493.81,13984829
491.09,2025-07-02T00:00:00.000Z,493.5,488.7,489.99,16319641
492.05,2025-07-01T00:00:00.000Z,498.05,490.98,496.47,19945375
497.41,2025-06-30T00:00:00.000Z,500.76,495.33,497.04,28368991
495.94,2025-06-27T00:00:00.000Z,499.3,493.03,497.55,34539236
497.45,2025-06-26T00:00:00.000Z,498.04,492.81,492.98,21578853
492.27,2025-06-25T00:00:00.000Z,494.5556,489.39,492.04,17495099
490.11,2025-06-24T00:00:00.000Z,491.849,486.795,488.95,22305642
486.0,2025-06-23T00:00:00.000Z,487.75,472.51,478.21,24863952
477.4,2025-06-20T00:00:00.000Z,483.46,476.87,482.23,37576206
480.24,2025-06-18T00:00:00.000Z,481.0,474.46,478.0,17526452
478.04,2025-06-17T00:00:00.000Z,478.7399,474.08,475.395,15414128
497.1,2025-11-06T00:00:00.000Z,505.7,495.81,505.66,27406496
507.16,2025-11-05T00:00:00.000Z,514.83,506.575,513.3,22883851
514.33,2025-11-04T00:00:00.000Z,515.55,507.84,511.76,20958663
517.03,2025-11-03T00:00:00.000Z,524.96,514.59,519.805,22374742
517.81,2025-10-31T00:00:00.000Z,529.32,515.1,528.875,34006424
525.76,2025-10-30T00:00:00.000Z,534.97,522.12,530.48,41023088
541.55,2025-10-29T00:00:00.000Z,546.27,536.7287,544.94,36023004
542.07,2025-10-28T00:00:00.000Z,553.72,540.77,550.0,29986683
531.52,2025-10-27T00:00:00.000Z,534.58,529.01,531.78,18734716
523.61,2025-10-24T00:00:00.000Z,525.345,520.71,522.79,15532360
520.56,2025-10-23T00:00:00.000Z,523.95,518.61,522.46,14023532
520.54,2025-10-22T00:00:00.000Z,525.23,517.71,521.15,18962694
517.66,2025-10-21T00:00:00.000Z,518.69,513.04,517.5,15586204
516.79,2025-10-20T00:00:00.000Z,518.7,513.43,514.61,14665620
513.58,2025-10-17T00:00:00.000Z,515.48,507.31,509.04,19867765
511.61,2025-10-16T00:00:00.000Z,516.85,508.13,512.58,15559565
513.43,2025-10-15T00:00:00.000Z,517.19,510.0,514.955,14694654
513.57,2025-10-14T00:00:00.000Z,515.282,506.0,510.225,14684300
514.05,2025-10-13T00:00:00.000Z,516.41,511.68,516.41,14284238
510.96,2025-10-10T00:00:00.000Z,523.58,509.63,519.64,24133840
522.4,2025-10-09T00:00:00.000Z,524.325,517.4,522.335,18343602
524.85,2025-10-08T00:00:00.000Z,526.95,523.09,523.28,13363447
523.98,2025-10-07T00:00:00.000Z,529.8,521.44,528.285,14615208
528.57,2025-10-06T00:00:00.000Z,531.03,518.2,518.61,21388581
517.35,2025-10-03T00:00:00.000Z,520.49,515.0,517.1,15112321
515.74,2025-10-02T00:00:00.000Z,521.6,510.6791,517.64,21222886
519.71,2025-10-01T00:00:00.000Z,520.505,511.69,514.8,22632336
517.95,2025-09-30T00:00:00.000Z,518.16,509.66,513.24,19728229
514.6,2025-09-29T00:00:00.000Z,516.845,508.88,511.5,17617775
511.46,2025-09-26T00:00:00.000Z,513.94,506.62,510.06,16213129
507.03,2025-09-25T00:00:00.000Z,510.01,505.04,508.3,15786468
510.15,2025-09-24T00:00:00.000Z,512.48,506.92,510.38,13533711
509.23,2025-09-23T00:00:00.000Z,514.5899,507.31,513.8,19799580
514.45,2025-09-22T00:00:00.000Z,517.74,512.545,515.59,20009314
517.93,2025-09-19T00:00:00.000Z,519.3,510.31,510.56,52474093
508.45,2025-09-18T00:00:00.000Z,513.07,507.66,511.49,18913696
510.02,2025-09-17T00:00:00.000Z,511.29,505.93,510.62,15816585
509.04,2025-09-16T00:00:00.000Z,517.23,508.6,516.88,19711922
515.36,2025-09-15T00:00:00.000Z,515.47,507.0,508.79,17143786
509.9,2025-09-12T00:00:00.000Z,512.55,503.85,506.65,23624884
501.01,2025-09-11T00:00:00.000Z,503.17,497.88,502.25,18881608
500.37,2025-09-10T00:00:00.000Z,503.2299,496.72,502.98,21611816
498.41,2025-09-09T00:00:00.000Z,502.25,497.7,501.43,14410542
498.2,2025-09-08T00:00:00.000Z,501.195,495.03,498.105,16771015
495.0,2025-09-05T00:00:00.000Z,511.97,492.37,509.07,31994846
507.97,2025-09-04T00:00:00.000Z,508.15,503.15,504.3,15509486
505.35,2025-09-03T00:00:00.000Z,507.79,502.32,503.79,15995154
505.12,2025-09-02T00:00:00.000Z,506.0,496.81,500.465,18127995
506.69,2025-08-29T00:00:00.000Z,509.6,504.4915,508.66,20961569
509.64,2025-08-28T00:00:00.000Z,511.09,505.5,507.09,18015593
506.74,2025-08-27T00:00:00.000Z,507.29,499.9,502.0,17277893
502.04,2025-08-26T00:00:00.000Z,504.9778,498.51,504.355,30835709
504.26,2025-08-25T00:00:00.000Z,508.19,504.12,506.63,21638579
507.23,2025-08-22T00:00:00.000Z,510.73,502.41,504.25,24324161
504.24,2025-08-21T00:00:00.000Z,507.63,502.7201,503.69,18443254
505.72,2025-08-20T00:00:00.000Z,511.0,504.44,509.865,27723025
509.77,2025-08-19T00:00:00.000Z,515.1641,508.55,515.0,21481016
517.1,2025-08-18T00:00:00.000Z,522.82,514.02,521.585,23760583
520.17,2025-08-15T00:00:00.000Z,526.1,519.08,522.77,25213272
522.48,2025-08-14T00:00:00.000Z,525.9499,520.14,522.56,20269074
520.58,2025-08-13T00:00:00.000Z,532.7,519.37,532.11,19619160
529.24,2025-08-12T00:00:00.000Z,530.98,522.7,523.75,18688921
521.77,2025-08-11T00:00:00.000Z,527.59,519.72,522.3,20194372
522.04,2025-08-08T00:00:00.000Z,524.66,519.41,522.6,15531009
520.84,2025-08-07T00:00:00.000Z,528.09,517.5511,526.8,16079144
524.94,2025-08-06T00:00:00.000Z,531.7,524.03,530.9,21355702
527.75,2025-08-05T00:00:00.000Z,537.3,527.24,537.18,19171569
535.64,2025-08-04T00:00:00.000Z,538.25,528.13,528.27,25349004
524.11,2025-08-01T00:00:00.000Z,535.8,520.86,535.0,28977628
533.5,2025-07-31T00:00:00.000Z,555.45,531.9,555.225,51617326
513.24,2025-07-30T00:00:00.000Z,515.95,509.435,515.17,26380434
512.57,2025-07-29T00:00:00.000Z,517.62,511.56,515.53,16469235
512.5,2025-07-28T00:00:00.000Z,515.0,510.12,514.08,14308027
513.71,2025-07-25T00:00:00.000Z,518.29,510.3592,512.465,19125699
510.88,2025-07-24T00:00:00.000Z,513.67,507.3,508.77,16107000
